school,conference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,median,mean,year
Marquette,Big East,,,,,,,,,,,,,25.0,,20.0,20.0,22.0,17.0,13.0,16.0,11.0,18.5,18.05555555555556,2013
Memphis,CUSA,16.0,16.0,17.0,,,,,,,,,,,,25.0,19.0,17.0,20.0,17.0,15.0,18.0,17.0,17.90909090909091,2013
Miami (FL),ACC,,,,,,,,,,,,,15.0,11.0,4.0,2.0,7.0,7.0,10.0,4.0,10.0,7.0,7.7,2013
Michigan,Big Ten,5.0,5.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,3.0,5.0,7.0,4.0,8.0,8.0,11.0,2.0,3.0,4.181818181818182,2013
Michigan State,Big Ten,14.0,22.0,19.0,14.0,17.0,19.0,19.0,19.0,18.0,18.0,17.0,11.0,9.0,8.0,8.0,5.0,10.0,12.0,7.0,9.0,13.0,14.0,13.727272727272728,2013
Minnesota,Big Ten,,,,,21.0,16.0,16.0,14.0,13.0,10.0,12.0,14.0,24.0,18.0,,,,,,,,15.0,15.727272727272728,2013
Missouri,SEC,17.0,15.0,14.0,15.0,11.0,11.0,12.0,9.0,12.0,12.0,16.0,22.0,18.0,20.0,,,,,,,,14.5,14.566666666666666,2013
NC State,ACC,6.0,6.0,15.0,18.0,24.0,25.0,,25.0,25.0,21.0,15.0,18.0,19.0,,,,,,,,,18.5,18.115384615384617,2013
New Mexico,MWC,,,,23.0,20.0,20.0,17.0,,23.0,,21.0,17.0,22.0,16.0,18.0,16.0,14.0,11.0,14.0,10.0,19.0,17.5,17.558823529411764,2013
Notre Dame,Big East,23.0,21.0,,,25.0,24.0,22.0,20.0,19.0,16.0,20.0,23.0,,,21.0,25.0,20.0,24.0,,,,21.5,21.633333333333333,2013
Ohio State,Big Ten,4.0,4.0,3.0,4.0,7.0,7.0,7.0,10.0,8.0,14.0,11.0,15.0,11.0,10.0,14.0,18.0,15.0,13.0,9.0,6.0,6.0,9.0,9.318181818181818,2013
Oklahoma State,Big 12,,,22.0,17.0,22.0,23.0,24.0,22.0,21.0,,,,,24.0,16.0,14.0,18.0,14.0,15.0,19.0,,20.0,19.4,2013
Ole Miss,SEC,,,,,,,,,,,,24.0,16.0,23.0,,,,,,,,23.0,21.5,2013
Oregon,Pac-12,,,,,,,,,,,,19.0,12.0,19.0,,23.0,,25.0,,24.0,15.0,19.0,19.5,2013
Pitt,Big East,,,,,,,,24.0,22.0,,,,,25.0,17.0,22.0,,22.0,19.0,22.0,,22.0,21.666666666666668,2013
Saint Louis,A-10,,,,,,,,,,,,,,,,,19.0,15.0,16.0,13.0,16.0,16.0,15.833333333333334,2013
Saint Mary's,WCC,,,,,,,,,,,,,,,,,23.0,23.0,21.0,25.0,,23.0,23.0,2013
San Diego State,MWC,20.0,23.0,25.0,21.0,15.0,15.0,15.0,16.0,17.0,15.0,14.0,25.0,20.0,25.0,22.0,,,,,,,20.0,19.25,2013
Syracuse,Big East,9.0,8.0,6.0,5.0,4.0,4.0,3.0,7.0,7.0,7.0,6.0,4.0,6.0,9.0,7.0,8.0,12.0,16.0,20.0,18.0,3.0,7.0,8.0,2013
Texas,Big 12,24.0,25.0,,,,,,,,,,,,,,,,,,,,24.5,24.5,2013
UCLA,Pac-12,13.0,14.0,13.0,24.0,,,,,,,25.0,,,,,,,,25.0,,,19.0,19.0,2013
UConn,Big East,,,23.0,,,,,,,,,,,,,,,,,,,23.0,23.0,2013
UNC,ACC,12.0,11.0,9.0,13.0,16.0,18.0,19.0,,,,,,,,,,,,,,,13.0,13.875,2013
UNLV,MWC,19.0,18.0,18.0,20.0,18.0,17.0,18.0,17.0,24.0,19.0,23.0,,,,,,,,,,,18.0,19.08333333333333,2013
VCU,A-10,,,,,,,,,,24.0,19.0,16.0,,,,24.0,25.0,19.0,22.0,23.0,23.0,23.0,21.8,2013
Wichita State,MVC,,,,,,,,,,,,21.0,14.0,22.0,,,,,,,4.0,17.5,15.7,2013
Wisconsin,Big Ten,21.0,20.0,24.0,,,,,,,,,,,,19.0,17.0,16.0,21.0,23.0,17.0,22.0,20.5,20.045454545454547,2013
Wyoming,MWC,,,,,,,,,,25.0,,,,,,,,,,,,25.0,25.0,2013
Arizona,Pac-12,5.0,5.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,5.0,3.0,2.727272727272727,2014
Baylor,Big 12,,25.0,21.0,17.0,20.0,18.0,15.0,12.0,11.0,9.0,13.0,23.0,,,,,,,,,18.0,17.5,16.884615384615383,2014
Cincinnati,AAC,,,,,,,,,,,23.0,16.0,15.0,7.0,11.0,9.0,12.0,15.0,12.0,14.0,22.0,14.0,14.166666666666666,2014
Colorado,Pac-12,,,,,,,24.0,24.0,24.0,17.0,22.0,,,,,,,,,,,24.0,22.5,2014
Creighton,Big East,,,23.0,18.0,,,,,,23.0,19.0,24.0,20.0,12.0,17.0,12.0,10.0,13.0,14.0,16.0,20.0,17.5,17.233333333333334,2014
Dayton,A-10,,,,,,,,,,,,,,,,,,,,,19.0,19.0,19.0,2014
Duke,ACC,4.0,4.0,6.0,5.0,8.0,7.0,8.0,9.0,8.0,13.0,20.0,18.0,16.0,11.0,9.0,6.0,7.0,4.0,6.0,6.0,16.0,8.0,9.045454545454543,2014
Florida,SEC,8.0,10.0,14.0,13.0,12.0,19.0,17.0,14.0,13.0,11.0,7.0,6.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,7.0,7.818181818181818,2014
Gonzaga,WCC,14.0,15.0,12.0,10.0,15.0,16.0,15.0,21.0,21.0,18.0,23.0,21.0,24.0,20.0,24.0,22.0,,,,,,19.0,18.235294117647054,2014
Illinois,Big Ten,,,,,,,,,,,,,,,,,,,,,,,,2014
Indiana,Big Ten,24.0,23.0,22.0,25.0,23.0,,,,,,,,,,,,,,,,,23.0,23.33333333333333,2014
Iowa,Big Ten,,,25.0,23.0,24.0,22.0,,23.0,23.0,23.0,16.0,10.0,12.0,13.0,15.0,15.0,19.0,25.0,,,,22.0,19.375,2014
Iowa State,Big 12,,,,22.0,18.0,16.0,13.0,13.0,12.0,7.0,10.0,17.0,18.0,17.0,14.0,19.0,17.0,17.0,16.0,9.0,11.0,16.0,14.842105263157896,2014
Kansas,Big 12,6.0,6.0,3.0,2.0,7.0,13.0,19.0,16.0,17.0,20.0,18.0,11.0,7.0,9.0,7.0,8.0,6.0,8.0,10.0,10.0,14.0,9.0,10.272727272727272,2014
Kansas State,Big 12,,,,,,,,,,,,,,,,,,,,,,,,2014
Kentucky,SEC,1.0,1.0,5.0,4.0,4.0,10.0,21.0,18.0,16.0,16.0,12.0,14.0,11.0,14.0,13.0,16.0,15.0,24.0,,22.0,2.0,13.5,12.023809523809524,2014
Louisville,AAC,3.0,3.0,2.0,9.0,6.0,4.0,4.0,4.0,10.0,8.0,14.0,9.0,7.0,10.0,8.0,5.0,4.0,9.0,5.0,3.0,9.0,6.0,6.454545454545454,2014
Marquette,Big East,17.0,17.0,,,,,,,,,,,,,,,,,,,,17.0,17.0,2014
Memphis,AAC,13.0,13.0,11.0,19.0,15.0,15.0,14.0,17.0,18.0,22.0,17.0,22.0,22.0,,22.0,24.0,22.0,20.0,19.0,,,18.5,18.07894736842105,2014
Michigan,Big Ten,9.0,8.0,13.0,20.0,21.0,25.0,,,,,,25.0,14.0,16.0,18.0,20.0,16.0,12.0,9.0,8.0,6.0,15.0,15.0,2014
Michigan State,Big Ten,2.0,2.0,1.0,1.0,1.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,6.0,8.0,10.0,14.0,18.0,22.0,22.0,13.0,8.0,5.0,7.409090909090909,2014
Missouri,SEC,,,,,,,25.0,25.0,25.0,21.0,,,,,,,,,,,,25.0,24.2,2014
New Mexico,MWC,20.0,21.0,20.0,,,,,,,,,,,,,,,21.0,20.0,17.0,,20.0,19.857142857142858,2014
Notre Dame,ACC,22.0,22.0,,,,,,,,,,,,,,,,,,,,22.0,22.0,2014
Ohio State,Big Ten,10.0,9.0,8.0,6.0,3.0,2.0,2.0,3.0,3.0,3.0,9.0,15.0,23.0,25.0,20.0,23.0,20.0,,24.0,24.0,,9.0,12.05,2014
Oklahoma,Big 12,,,,,,,,,,,,25.0,25.0,23.0,25.0,,25.0,23.0,18.0,20.0,,24.0,23.11111111111111,2014
Oklahoma State,Big 12,12.0,12.0,9.0,8.0,11.0,9.0,7.0,7.0,6.0,12.0,8.0,13.0,10.0,19.0,,,,,,,,9.5,10.166666666666666,2014
Oregon,Pac-12,18.0,18.0,17.0,15.0,13.0,11.0,11.0,10.0,9.0,13.0,,,,,,,,,,,,13.0,13.454545454545457,2014
Pitt,ACC,,,,,,,,,,,21.0,19.0,17.0,22.0,23.0,,,,,,,21.0,20.5,2014
SMU,AAC,,,,,,,,,,,,,,,,,24.0,18.0,23.0,,,23.0,22.0,2014
Saint Louis,A-10,,,,,,,,,,,,20.0,21.0,15.0,12.0,10.0,8.0,16.0,17.0,21.0,25.0,16.5,16.5,2014
San Diego State,MWC,,,,,,24.0,23.0,20.0,19.0,15.0,11.0,7.0,5.0,5.0,5.0,7.0,13.0,10.0,7.0,11.0,12.0,11.0,12.058823529411764,2014
Stanford,Pac-12,,,,,,,,,,,,,,,,,,,,,24.0,24.0,24.0,2014
Syracuse,ACC,7.0,7.0,7.0,7.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0,7.0,11.0,12.0,17.0,3.0,4.909090909090909,2014
Tennessee,SEC,,,,,,,,,,,,,,,,,,,,,23.0,23.0,23.0,2014
Texas,Big 12,,,,,,,,,,,,,,18.0,19.0,17.0,23.0,,,,,18.5,19.1,2014
UCLA,Pac-12,23.0,24.0,24.0,21.0,17.0,23.0,22.0,,,25.0,25.0,,,,,25.0,,,,23.0,15.0,23.0,22.307692307692307,2014
UConn,AAC,19.0,20.0,18.0,14.0,14.0,12.0,10.0,15.0,15.0,,,,,,,21.0,,19.0,21.0,19.0,1.0,16.5,15.633333333333333,2014
UMass,A-10,,,,,22.0,20.0,20.0,22.0,22.0,19.0,15.0,12.0,19.0,,,,,,,,,20.0,19.1,2014
UNC,ACC,11.0,11.0,19.0,16.0,25.0,21.0,18.0,19.0,19.0,,,,,,,,21.0,14.0,15.0,18.0,21.0,18.5,17.766666666666666,2014
VCU,A-10,15.0,14.0,10.0,24.0,,,,,,,,,,,,,,,25.0,25.0,,19.5,18.928571428571427,2014
Villanova,Big East,,,,,19.0,14.0,12.0,11.0,14.0,10.0,6.0,5.0,9.0,6.0,6.0,11.0,9.0,6.0,3.0,7.0,13.0,9.0,9.444444444444445,2014
Virginia,ACC,25.0,25.0,,,,,,,,,,,,21.0,16.0,13.0,11.0,5.0,8.0,4.0,10.0,12.0,13.636363636363637,2014
Wichita State,MVC,16.0,16.0,16.0,12.0,10.0,8.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,7.0,6.0,6.727272727272728,2014
Wisconsin,Big Ten,21.0,19.0,15.0,11.0,9.0,6.0,6.0,6.0,5.0,4.0,3.0,8.0,13.0,24.0,21.0,18.0,14.0,11.0,13.0,15.0,4.0,11.0,11.681818181818182,2014
Arizona,Pac-12,2.0,2.0,4.0,3.0,3.0,3.0,3.0,7.0,6.0,9.0,7.0,6.0,6.0,7.0,7.0,7.0,6.0,6.0,4.0,4.0,,6.0,5.142857142857143,2015
Arkansas,SEC,,,,21.0,,,,,25.0,19.0,,25.0,,23.0,17.0,16.0,18.0,20.0,20.0,20.0,,20.0,20.33333333333333,2015
Baylor,Big 12,,,,,,,22.0,22.0,22.0,23.0,21.0,19.0,19.0,16.0,20.0,20.0,16.0,16.0,17.0,21.0,,20.0,19.6,2015
Boise State,MWC,,,,,,,,,,,,,,,,,,,,,,,,2015
Butler,Big East,,,,,19.0,25.0,,,,,,,22.0,18.0,19.0,23.0,21.0,22.0,23.0,23.0,,22.0,21.545454545454547,2015
Colorado State,MWC,,,,,,,25.0,24.0,,,,24.0,,,,,,,,,,24.0,24.25,2015
Creighton,Big East,,,,,,,,,,,,,,,,,,,,,,,,2015
Davidson,A-10,,,,,,,,,,,,,,,,,,24.0,,,,24.0,24.0,2015
Dayton,A-10,,,,,,,,,,,22.0,,,,,,,,,,,22.0,22.0,2015
Duke,ACC,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,6.0,4.0,5.0,5.0,5.0,5.0,3.0,2.0,5.0,1.0,,3.0,3.238095238095238,2015
Florida,SEC,7.0,7.0,16.0,24.0,,,,,,,,,,,,,,,,,,11.5,13.1,2015
Georgetown,Big East,,,,,,,,,,,,22.0,24.0,,,,,23.0,24.0,,,23.5,23.3,2015
Gonzaga,WCC,13.0,11.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,6.0,,7.0,6.190476190476191,2015
Harvard,Ivy,,,,,,,,,,,,,,,,,,,,,,,,2015
Illinois,Big Ten,,,,25.0,25.0,,,,,,,,,,,,,,,,,25.0,25.0,2015
Indiana,Big Ten,,,,,,,,,,,23.0,21.0,25.0,,,,,,,,,23.0,23.0,2015
Iowa,Big Ten,25.0,25.0,,,,,,,,,,,,,,,,,,,,25.0,25.0,2015
Iowa State,Big 12,14.0,14.0,13.0,19.0,13.0,13.0,12.0,9.0,16.0,13.0,12.0,16.0,14.0,14.0,14.0,13.0,17.0,15.0,10.0,19.0,,14.0,14.0,2015
Kansas,Big 12,5.0,5.0,12.0,11.0,10.0,10.0,10.0,14.0,13.0,10.0,14.0,11.0,9.0,9.0,8.0,9.0,10.0,10.0,11.0,17.0,,10.0,10.38095238095238,2015
Kentucky,SEC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,1.0,1.0952380952380951,2015
Louisville,ACC,9.0,8.0,5.0,5.0,4.0,4.0,4.0,6.0,5.0,7.0,10.0,9.0,8.0,8.0,12.0,15.0,14.0,13.0,16.0,10.0,,8.0,8.571428571428571,2015
Maryland,Big Ten,,,,22.0,20.0,18.0,15.0,11.0,9.0,11.0,8.0,13.0,16.0,19.0,15.0,14.0,9.0,8.0,12.0,16.0,,14.0,13.88888888888889,2015
Miami (FL),ACC,,,20.0,15.0,22.0,19.0,,,,,,23.0,,,,,,,,,,20.0,19.83333333333333,2015
Michigan,Big Ten,23.0,22.0,18.0,16.0,,,,,,,,,,,,,,,,,,20.0,19.8,2015
Michigan State,Big Ten,18.0,19.0,19.0,18.0,23.0,22.0,,,,,,,,,,25.0,,,22.0,7.0,,19.0,19.2,2015
Murray State,OVC,,,,,,,,,,,,,,,,,24.0,,,,,24.0,24.0,2015
NC State,ACC,,,,,,,,,,,,,,,,,,,,24.0,,24.0,24.0,2015
Nebraska,Big Ten,21.0,21.0,,,,,,,,,,,,,,,,,,,,21.0,21.0,2015
Northern Iowa,MVC,,,,,24.0,,24.0,23.0,23.0,22.0,19.0,18.0,15.0,12.0,11.0,10.0,12.0,11.0,9.0,14.0,,15.0,16.375,2015
Notre Dame,ACC,,,,,,21.0,16.0,13.0,12.0,12.0,9.0,8.0,10.0,11.0,10.0,8.0,11.0,9.0,8.0,5.0,,10.0,10.8125,2015
Ohio State,Big Ten,20.0,20.0,17.0,13.0,12.0,12.0,18.0,18.0,20.0,25.0,,,20.0,21.0,23.0,,25.0,,,,,20.0,18.933333333333334,2015
Oklahoma,Big 12,19.0,18.0,21.0,20.0,15.0,15.0,20.0,21.0,18.0,18.0,20.0,,21.0,17.0,17.0,17.0,15.0,14.0,15.0,13.0,,18.0,17.6,2015
Oklahoma State,Big 12,,,,,,,,,,24.0,,,,24.0,24.0,,,,,,,24.0,24.0,2015
Old Dominion,CUSA,,,,,,,,,,,,,,,,,,,,,,,,2015
Oregon,Pac-12,,,,,,,,,,,,,,,,,,,25.0,25.0,,25.0,25.0,2015
Providence,Big East,,,25.0,,,,,,,,,,,,,,23.0,,,,,24.0,24.0,2015
SMU,AAC,22.0,23.0,,,,,,,,,,,23.0,25.0,21.0,21.0,22.0,21.0,19.0,,,22.0,21.9,2015
San Diego State,MWC,17.0,16.0,15.0,14.0,16.0,17.0,23.0,25.0,,,,,,,25.0,22.0,,25.0,,,,17.0,19.33333333333333,2015
Seton Hall,Big East,,,,,,,,,19.0,21.0,24.0,,,,,,,,,,,21.0,21.25,2015
St. John's (NY),Big East,,,,,,23.0,19.0,17.0,24.0,,,,,,,,,,,,,21.0,20.8,2015
Stanford,Pac-12,,,,,,,,,,,25.0,,,,,,,,,,,25.0,25.0,2015
Syracuse,ACC,24.0,24.0,,,,,,,,,,,,,,,,,,,,24.0,24.0,2015
TCU,Big 12,,,,,,,,,,,,,,,,,,,,,,,,2015
Texas,Big 12,10.0,10.0,9.0,7.0,9.0,9.0,9.0,10.0,10.0,20.0,18.0,20.0,,,,,,,,,,10.0,11.615384615384617,2015
UCLA,Pac-12,,,23.0,,,,,,,,,,,,,,,,,,,23.0,23.0,2015
UConn,AAC,15.0,17.0,22.0,23.0,,,,,,,,,,,,,,,,,,19.5,19.3,2015
UNC,ACC,6.0,6.0,6.0,12.0,18.0,24.0,21.0,20.0,17.0,16.0,15.0,14.0,13.0,15.0,16.0,18.0,19.0,19.0,14.0,12.0,,15.5,15.071428571428571,2015
Utah,Pac-12,,,,,14.0,14.0,14.0,12.0,11.0,8.0,11.0,10.0,11.0,10.0,9.0,12.0,13.0,17.0,18.0,15.0,,12.0,12.411764705882351,2015
VCU,A-10,16.0,15.0,14.0,,,,,,21.0,17.0,16.0,15.0,18.0,22.0,,24.0,,,,,,16.5,17.681818181818183,2015
Villanova,Big East,12.0,12.0,11.0,9.0,7.0,7.0,7.0,5.0,8.0,5.0,4.0,7.0,7.0,6.0,6.0,6.0,4.0,3.0,2.0,9.0,,7.0,6.857142857142857,2015
Virginia,ACC,8.0,9.0,7.0,6.0,5.0,5.0,5.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,6.0,8.0,,3.5,4.404761904761905,2015
Washington,Pac-12,,,,,17.0,16.0,13.0,19.0,,,,,,,,,,,,,,16.5,16.3,2015
West Virginia,Big 12,,,24.0,17.0,21.0,20.0,17.0,15.0,14.0,15.0,17.0,17.0,12.0,20.0,22.0,19.0,20.0,18.0,21.0,18.0,,18.0,18.157894736842103,2015
Wichita State,MVC,11.0,13.0,10.0,10.0,11.0,11.0,11.0,16.0,15.0,14.0,13.0,12.0,17.0,13.0,13.0,11.0,8.0,12.0,13.0,11.0,,12.0,12.238095238095235,2015
Wisconsin,Big Ten,4.0,4.0,3.0,4.0,6.0,6.0,6.0,4.0,4.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,2.0,,4.0,4.380952380952381,2015
Wyoming,MWC,,,,,,,,,,,,,,,,,,,,,,,,2015
Xavier,Big East,,,,,,,,,,,,,,,,,,,,22.0,,22.0,22.0,2015
Arizona,Pac-12,10.0,10.0,10.0,14.0,12.0,12.0,8.0,7.0,6.0,16.0,11.0,15.0,20.0,14.0,12.0,10.0,16.0,13.0,16.0,22.0,,12.0,12.666666666666666,2016
Baylor,Big 12,21.0,21.0,25.0,23.0,15.0,14.0,22.0,21.0,25.0,22.0,15.0,18.0,13.0,19.0,22.0,16.0,17.0,20.0,18.0,24.0,,20.5,19.59523809523809,2016
Butler,Big East,22.0,20.0,,25.0,21.0,18.0,12.0,10.0,19.0,23.0,24.0,,,,,,,,,,,20.5,19.5,2016
California,Pac-12,14.0,14.0,13.0,,,,,,,,,,,,,,25.0,24.0,23.0,,,18.5,18.785714285714285,2016
Cincinnati,AAC,,,24.0,17.0,22.0,20.0,21.0,23.0,,,,,,,,,,,,,,21.5,21.214285714285715,2016
Dayton,A-10,,,,,,,,,,,,,24.0,17.0,13.0,22.0,,,,,,19.5,19.1,2016
Duke,ACC,4.0,4.0,3.0,5.0,5.0,6.0,10.0,12.0,10.0,6.0,12.0,20.0,,,19.0,18.0,21.0,21.0,20.0,18.0,,11.0,11.842105263157896,2016
George Washington,A-10,,,,,,22.0,20.0,,,,,,,,,,,,,,,21.0,21.0,2016
Gonzaga,WCC,11.0,12.0,11.0,12.0,17.0,21.0,24.0,24.0,22.0,21.0,,,,,,,,,,21.0,,21.0,18.08333333333333,2016
Indiana,Big Ten,15.0,15.0,14.0,,,,,,,25.0,23.0,17.0,21.0,22.0,21.0,15.0,11.0,10.0,12.0,9.0,,15.0,16.333333333333332,2016
Iowa,Big Ten,,,,,,,,,23.0,19.0,9.0,4.0,7.0,5.0,6.0,8.0,15.0,18.0,24.0,25.0,,12.0,13.461538461538462,2016
Iowa State,Big 12,7.0,7.0,5.0,4.0,2.0,2.0,9.0,9.0,14.0,18.0,21.0,16.0,14.0,15.0,15.0,17.0,20.0,19.0,19.0,15.0,,14.5,12.5,2016
Kansas,Big 12,5.0,5.0,7.0,6.0,7.0,5.0,3.0,3.0,2.0,1.0,3.0,3.0,6.0,6.0,2.0,2.0,1.0,1.0,1.0,3.0,,3.0,3.571428571428572,2016
Kentucky,SEC,1.0,1.0,1.0,1.0,4.0,4.0,11.0,11.0,8.0,13.0,19.0,19.0,19.0,21.0,14.0,14.0,19.0,16.0,13.0,16.0,,13.0,11.333333333333334,2016
LSU,SEC,19.0,19.0,17.0,,,,,,,,,,,,,,,,,,,19.0,18.5,2016
Louisville,ACC,,,,22.0,19.0,17.0,15.0,18.0,16.0,20.0,16.0,14.0,18.0,,,,,,,,,17.5,17.5,2016
Maryland,Big Ten,3.0,3.0,2.0,2.0,9.0,7.0,4.0,4.0,3.0,3.0,5.0,7.0,3.0,2.0,5.0,9.0,12.0,15.0,17.0,13.0,,4.5,6.309523809523809,2016
Miami (FL),ACC,,,19.0,21.0,20.0,19.0,16.0,15.0,11.0,9.0,14.0,13.0,15.0,11.0,10.0,11.0,7.0,11.0,11.0,8.0,,12.0,13.31578947368421,2016
Michigan,Big Ten,,25.0,,,,,,,,,,,,,,,,,,,,25.0,25.0,2016
Michigan State,Big Ten,13.0,13.0,4.0,3.0,1.0,1.0,1.0,1.0,5.0,4.0,10.0,11.0,10.0,9.0,9.0,7.0,3.0,3.0,2.0,7.0,,4.5,5.785714285714286,2016
Notre Dame,ACC,18.0,18.0,18.0,,,,,,,,,,,,18.0,20.0,,,,17.0,,18.0,18.142857142857142,2016
Oklahoma,Big 12,8.0,8.0,6.0,8.0,8.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,4.0,6.0,6.0,7.0,4.0,,3.5,4.261904761904762,2016
Oregon,Pac-12,,,23.0,16.0,23.0,,,,,,,24.0,17.0,12.0,17.0,13.0,10.0,9.0,4.0,6.0,,14.5,14.5,2016
Pitt,ACC,,,,,,,,25.0,21.0,17.0,20.0,23.0,,,,,,,,,,21.0,21.166666666666668,2016
Providence,Big East,,,,24.0,18.0,14.0,14.0,13.0,9.0,12.0,17.0,10.0,11.0,18.0,20.0,24.0,,,,,,14.0,15.571428571428571,2016
Purdue,Big Ten,24.0,23.0,15.0,11.0,11.0,8.0,13.0,14.0,18.0,24.0,22.0,21.0,16.0,16.0,16.0,19.0,13.0,13.0,10.0,19.0,,16.0,16.285714285714285,2016
SMU,AAC,,,,,,,,,,,,,,,,,,,,,,,,2016
Saint Mary's,WCC,,,,,,,,,,,,,25.0,,,,24.0,23.0,,,,24.0,24.0,2016
Seton Hall,Big East,,,,,,,,,,,,,,,,,,,21.0,,,21.0,21.0,2016
South Carolina,SEC,,,,,,25.0,23.0,20.0,20.0,15.0,18.0,22.0,23.0,20.0,23.0,,,,,,,21.0,20.90909090909091,2016
St. Joseph's,A-10,,,,,,,,,,,,,,,,,,,25.0,,,25.0,25.0,2016
Syracuse,ACC,,,,19.0,,,,,,,,,,,,,,,,10.0,,14.5,14.5,2016
Texas,Big 12,,,,,,,,,,,,,,25.0,25.0,25.0,22.0,22.0,22.0,,,23.5,23.5,2016
